term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),60.66947934670395,0.2608799198543524,232.55710665878516,0,60.15751375625407,61.181444937153834
trial_c,-0.9812317952084191,0.1820992358533137,-5.388445429825033,8.952870181683473e-8,-1.3385922608717205,-0.6238713295451177
payoff_group3,-1.441149185486727,0.37362020450575595,-3.857257097198888,1.223929270108933e-4,-2.1743648059315683,-0.7079335650418859
payoff_group4,-5.274127392898233,0.3702320420411354,-14.245464449325647,6.974935935792065e-42,-6.000692951530002,-4.547561834266464
trial_c:payoff_group3,7.4822609217340865,0.26056602737682705,28.71541235463264,3.6809131605235086e-131,6.97091160823845,7.993610235229723
trial_c:payoff_group4,5.30100388366095,0.25815805298058525,20.53394741112187,7.106996599285224e-78,4.794380305874817,5.807627461447083
