model,AIC,BIC,logLik,convergence,singularity,delta_AIC
quadratic_uncorrelated,169511.12015730067,169629.29714791803,-84743.56007865033,TRUE,FALSE,305.55089175803005
quadratic_correlated,169205.56926554264,169353.29050381432,-84587.78463277132,TRUE,FALSE,0
