term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.959254769050847,0.01689044083787029,412.02327611529273,0,6.926108531083783,6.99240100701791
trial_c,-0.02570763902086311,0.001744541236493104,-14.736045490412648,1.9071469433373076e-44,-0.029131207994246115,-0.022284070047480106
payoff_group3,-0.026908830404262552,0.024208421179481954,-1.1115483411644107,0.2666093730829532,-0.0744160763091091,0.02059841550058399
payoff_group4,-0.011085454027993352,0.023978516171651604,-0.4623077570203879,0.6439648779883895,-0.058141516259047836,0.03597060820306113
