term,estimate,conf.low,conf.high,p.value
(Intercept),1.062332422345647,0.9912207471893633,1.1385457566004429,0.08717054097068061
trial_c,1.636164266973935,1.5274180280701621,1.7526528162723662,1.0066362564344452e-44
trial_c2,1.3873536317671464,1.3229298019456504,1.4549147632374262,1.668142319488565e-41
payoff_group3,1.8228403771182264,1.6499755707118708,2.0138159009341825,3.4409831917230247e-32
payoff_group4,1.0847094867271432,0.9828336751148338,1.1971452549775419,0.106123204232508
trial_c:payoff_group3,0.6393389250496271,0.5798096047938003,0.7049801481453197,2.951439720084448e-19
trial_c:payoff_group4,0.6398112400363272,0.5799777288889073,0.7058174865801337,4.887597817716897e-19
trial_c2:payoff_group3,0.6598348108239448,0.6168827877183827,0.7057774770882896,9.771848910126485e-34
trial_c2:payoff_group4,1.1824855090539952,1.1040762063687903,1.266463284922587,1.6816369205629396e-6
