effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),0.8337453797298742,0.060165051773451085,-2.5196954525005144,0.011745641002825604,0.723783553044563,0.9604133104391132
fixed,trial_c,0.9852875189107043,6.905882797472168e-4,-21.146779142116063,2.954375715440905e-99,0.9839349200260703,0.9866419771904117
fixed,payoff_group3,0.6898610702709046,0.07138593034205588,-3.5878401093504544,3.334286472100014e-4,0.563223029503699,0.8449730769970095
fixed,payoff_group4,0.5503574953718647,0.05644213267714017,-5.823069527250758,5.777650480933795e-9,0.4501420365216425,0.6728839969102269
fixed,trial_c:payoff_group3,1.005423273967479,0.0010126979636531888,5.369768282322746,7.883787376014595e-8,1.0034403803354661,1.0074100859859083
fixed,trial_c:payoff_group4,1.0016673480982856,0.0010019362995900955,1.6655124202010985,0.09581056779447195,0.9997055127441831,1.0036330333841004
