analysis,comparison,criteria
Random-effects specification,Uncorrelated versus correlated random slope,"AIC, BIC, logLik, likelihood-ratio test, convergence, singularity"
Trial functional form,Linear versus quadratic trial trajectory,"AIC, BIC, logLik, likelihood-ratio test"
