effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),0.3414239016117096,0.035470136522433915,9.625672046561425,6.229834245438561e-22
fixed,trial_c,0.010208818468104307,6.742796172154507e-4,15.140333783576779,8.776711537695725e-52
fixed,payoff_group3,0.23108312074622261,0.05080634382249655,4.548312343701876,5.407783389633385e-6
fixed,payoff_group4,0.24477813552653283,0.05041056360866955,4.85569130761387,1.1996746777870938e-6
fixed,trial_c:payoff_group3,-0.009017686850714912,9.646450769132924e-4,-9.348191440078713,8.915918089200946e-21
fixed,trial_c:payoff_group4,-0.009976699345826708,9.594979737061448e-4,-10.397832636676485,2.5363654135392993e-25
