model,grp,var1,var2,vcov,sdcor
payoff_maximizing_choice,id,(Intercept),NA,0.3906057610553523,0.624984608654767
payoff_maximizing_choice,id,trial_c,NA,0.2689665132863254,0.5186198157478419
payoff_maximizing_choice,id,(Intercept),trial_c,0.117077202535676,0.3612051285742107
reward,id,(Intercept),NA,19.250290094145935,4.387515252867611
reward,id.1,trial_c,NA,9.004528749860102,3.0007546967154948
reward,Residual,NA,NA,276.32798928519367,16.623116112365746
log_rt,id,(Intercept),NA,0.09258078527857626,0.3042709077098503
log_rt,id.1,trial_c,NA,0.002635968240864666,0.0513416813209761
log_rt,Residual,NA,NA,0.05413100915363108,0.23266071682523262
choice_switch,id,(Intercept),NA,1.66109272965373,1.2888338642562625
choice_switch,id.1,trial_c,NA,0.2381896633290605,0.488046783955248
