term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.1738170369171476,0.07412102559738905,-2.345043602894647,0.01902485457318,-0.31909157758520157,-0.028542496249093635
trial_c,-0.624593480157654,0.030146171151505783,-20.718832816898406,2.3429636084841343e-95,-0.6836788898863857,-0.5655080704289224
payoff_group3,-0.3837532388502716,0.10624383552274141,-3.6120047526722576,3.038389962883941e-4,-0.591987330054242,-0.17551914764630128
payoff_group4,-0.6080313373916404,0.10522998600492159,-5.778118580793149,7.55405630054657e-9,-0.8142783200549406,-0.4017843547283402
trial_c:payoff_group3,0.23002652877435886,0.04329317256739291,5.313228741004945,1.0769970796517537e-7,0.14517346976579132,0.3148795877829264
trial_c:payoff_group4,0.07140724708822273,0.04297351624339902,1.661657069991132,0.09658155344931012,-0.012819297037886326,0.1556337912143318
